METIER,INDIVIDUEL,LIBRE,ROUTINIER,TERRAIN,DIPLOME,SALAIRE,DEMANDE,PENEBILITE,QUALITE1,QUALITE2,QUALITE3,DESCRIPTION_METIER,EXPLICATION_INDIVIDUEL,EXPLICATION_LIBRE,EXPLICATION_ROUTINIER,EXPLICATION_TERRAIN,EXPLICATION_DIPLOME,EXPLICATION_SALAIRE,EXPLICATION_DEMANDE,EXPLICATION_PENEBILITE,SLUG,IMAGE,YOUTUBE1,YOUTUBE2,PROMPT_IMAGE,DESCRIPTION_MINI,URL_FICHE,URL_IMAGE
Ingénieur·e recherche et développement,5,3,8,7,Bac+5,5,4,Faible,Analyse,Persévérance,Curiosité,"Concevoir les solutions de demain, c'est mon quotidien. Je ne travaille pas forcément sur un produit fini, mais sur les briques qui le rendent possible. Je teste, j'analyse, j'améliore en boucle. Je collabore avec des équipes variées pour transformer une hypothèse en solution concrète et industrialisable. Si tu aimes comprendre comment les choses fonctionnent — et les rendre meilleures — ce métier est fait pour toi.","Je travaille souvent seul·e sur mes recherches, mais je collabore aussi beaucoup avec d'autres ingénieur·es et équipes.",J'ai une grande liberté dans ma façon d'organiser mon travail et mes expérimentations — peu de procédures rigides.,"Chaque projet m'amène à explorer de nouveaux territoires : nouveaux matériaux, nouvelles techniques, nouvelles questions.","Je travaille surtout sur ordinateur et en laboratoire, avec moins de présence sur le terrain industriel.","Un master ou diplôme d'ingénieur·e est requis. Le chemin est long, mais les débouchés et la reconnaissance sont au rendez-vous.","L'un des métiers les mieux rémunérés de l'industrie, dès l'entrée en poste. Le niveau d'études est compensé rapidement.",Les entreprises industrielles des Hauts-de-France recrutent activement des profils R&D pour innover et rester compétitives.,"Travail en bureau ou laboratoire, horaires classiques. Le principal défi est intellectuel, pas physique.",ingenieur-rd,ingenieur-rd.png,https://www.youtube.com/watch?v=h6lWA67vtGw,https://www.youtube.com/watch?v=-R6ni-Dw328,,Je conçois et teste de nouveaux produits ou technologies avant leur fabrication industrielle.,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/metier.html?slug=ingenieur-rd,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/assets/metiers/ingenieur-rd.png
Chef·fe d’équipe production,9,7,5,2,Bac+2/3,3,4,Assez forte,Initiative,Diplomatie,Réactivité,"Je suis le chef d'orchestre de la ligne de fabrication. J'organise le travail de mon équipe, je veille au respect des délais, de la qualité et de la sécurité. Quand un problème surgit, c'est moi qui réagis en premier. Je motive, je transmets, je décide. Ce métier demande autant de rigueur que d'intelligence relationnelle — et chaque journée ressemble rarement à la précédente.","Mon rôle est entièrement tourné vers le collectif : animer, coordonner, motiver mon équipe est au cœur de mon quotidien.","Je suis garant·e de procédures et de standards, mais je dois aussi m'adapter en permanence aux aléas de la production.","Les défis changent chaque jour, mais le cadre global — les objectifs, les process — reste stable.","Je suis sur le terrain, au plus près des machines et de mon équipe, rarement derrière un écran.","Un BTS ou BUT suffit pour débuter, souvent complété par une évolution interne. L'expérience terrain compte autant que le diplôme.","Une rémunération correcte, avec des primes fréquentes liées à la performance de l'équipe. Des perspectives d'évolution existent.",Les lignes de production ont toujours besoin d'encadrant·es de proximité. Les offres sont nombreuses dans la région.,"Travail posté (2x8, 3x8 ou 5x8) fréquents, responsabilité de l'équipe, gestion des imprévus et des tensions. Un métier exigeant au quotidien.",chef-equipe,chef-equipe.png,https://www.youtube.com/watch?v=bEICz23Zkdo,https://www.youtube.com/watch?v=KczsmNTs3l4,,J'encadre une équipe et veille au bon déroulement de la production.,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/metier.html?slug=chef-equipe,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/assets/metiers/chef-equipe.png
Conducteur·rice de ligne,5,9,3,1,Bac Pro,2,4,Assez forte,Vigilance,Sens pratique,Rigueur,"Je pilote une ligne de production automatisée, comme un·e pilote surveille son tableau de bord. Je règle les machines, je détecte les anomalies, j'interviens vite quand quelque chose déraille. Mon rôle : garantir que les produits sortent dans les temps, au bon niveau de qualité. Je collabore avec les équipes de maintenance et de qualité pour que la ligne tourne sans accroc.","Je travaille en autonomie sur ma ligne, tout en étant en lien constant avec les équipes maintenance et qualité.",Mon travail suit des procédures précises et des cadences définies — chaque étape est codifiée.,Je maîtrise parfaitement mes machines et mes process. La régularité et la fiabilité sont mes points forts.,"Je suis debout, en mouvement, au pied de ma ligne de production toute la journée.",Un Bac Pro en production industrielle ou maintenance suffit pour accéder au poste. Une formation courte pour un emploi stable.,"Le salaire est modeste en début de carrière, mais des primes d'équipe et d'ancienneté viennent compléter la rémunération.",Les lignes automatisées se multiplient dans les usines des Hauts-de-France — et chacune a besoin d'un·e conducteur·rice qualifié·e.,"Station debout prolongée, environnement parfois bruyant. Il faut aimer le terrain et accepter les horaires décalés (2x8, 3x8 ou 5x8).",conducteur-ligne,conducteur-ligne.png,https://youtu.be/PA9Lt9g6P8A?si=rm6fH9wrHqkbVwz6&t=60,https://www.youtube.com/watch?v=LXaFqwa4xvc,,Je veille au bon fonctionnement d’une ligne de production automatisée.,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/metier.html?slug=conducteur-ligne,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/assets/metiers/conducteur-ligne.png
Opérateur·rice de production,5,10,2,0,CAP/BEP,1,3,Forte,Fiabilité,Adresse,Précision,"Je suis au cœur de la fabrication. Chaque jour, je travaille directement sur les machines, je contrôle la qualité des pièces, je respecte les consignes de sécurité. Mon geste est précis, mon attention constante. Je ne travaille pas seul·e : l'entraide et la communication avec mes collègues sont essentielles. C'est un métier concret, où ce qu'on produit a une vraie utilité.","Je travaille à mon poste, mais en lien étroit avec mes collègues de ligne pour assurer la continuité de la production.","Chaque geste est défini, chaque étape est standardisée. La précision et la rigueur sont essentielles.",Mes tâches sont répétitives et maîtrisées — c'est cette régularité qui garantit la qualité.,"Je suis en permanence sur le terrain, debout, au cœur de l'atelier de fabrication.",C'est l'un des rares métiers accessibles sans long parcours d'études. Un CAP ou BEP industriel ouvre la porte rapidement.,"Le salaire d'entrée est proche du SMIC, mais des primes d'équipe, d'assiduité ou de production peuvent l'améliorer.","La demande est réelle, mais l'automatisation fait évoluer le métier. Les profils polyvalents et adaptables sont les plus recherchés.","Travail répétitif, station debout, horaires décalés, cadences soutenues. Un métier physiquement et mentalement éprouvant sur la durée.",operateur,operateur.png,https://www.youtube.com/watch?v=ixeAGpv2LXY,,"flat modern vector illustration, educational card game illustration style, same visual style across the whole series, clean minimal shapes, flat shading, soft pastel industrial color palette, friendly character design, simplified shapes, consistent line weight, professional but playful

high quality vector illustration, transparent background, no text, no letters, no numbers, no logo, no brand, no QR code

portrait composition, character and main scene grouped in the upper 65% of the image, lower 35% intentionally left empty and transparent for future text and QR code, centered composition, consistent framing and lighting

single plus-size female factory operator installing the FIRST lithium-ion battery module into a large electric vehicle battery pack housing

the battery pack housing is mostly empty with visible module slots, only one module currently being positioned

large aluminum battery tray almost as wide as the workstation

the operator is guiding one battery module using an overhead lifting assist tool

several battery modules are neatly placed next to the workstation waiting to be installed

wearing industrial uniform, safety gloves and ESD wrist strap

simplified automotive battery pack assembly line in the background with robotic arms and conveyors

strong job-identifying props, uncluttered background",Je réalise les opérations de fabrication ou d’assemblage sur un poste de travail.,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/metier.html?slug=operateur,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/assets/metiers/operateur.png
Technicien·ne de maintenance,5,5,8,2,Bac+2,3,5,Assez forte,Analyse,Sens pratique,Débrouillardise,"Quand une machine tombe en panne, c'est moi qu'on appelle. Je diagnostique, je répare, je remets en route — le plus vite possible pour ne pas bloquer la production. Mais mon travail, c'est aussi d'anticiper : je fais des contrôles réguliers, je remplace les pièces usées avant qu'elles lâchent. Un bon·ne technicien·ne de maintenance, c'est celui ou celle qu'on ne voit pas... parce que tout fonctionne.","J'interviens souvent seul·e sur les pannes, mais je travaille en étroite collaboration avec les équipes de production.","Je suis à la fois autonome dans mes diagnostics et interventions, et contraint·e par les plannings et des procédures de sécurité strictes.","Chaque panne est un nouveau problème à résoudre — je dois analyser, diagnostiquer et trouver des solutions parfois inédites.","Je suis constamment en mouvement dans l'usine, les mains dans les machines, rarement assis·e.",Un BTS Maintenance industrielle ou équivalent est le sésame. La formation en alternance est particulièrement appréciée des recruteur·euses.,"Un salaire honnête, souvent bonifié par des astreintes ou des primes d'urgence. Le profil est rare et donc bien valorisé.",C'est l'un des métiers en plus forte tension dans l'industrie régionale. Les entreprises peinent à recruter — un atout majeur pour toi.,"Interventions parfois en urgence, astreintes possibles, postures contraignantes. Mais la variété des situations rend le quotidien stimulant.",technicien-maintenance,technicien-maintenance.png,https://www.youtube.com/watch?v=RXnSEk_uDuc,https://www.youtube.com/watch?v=wdmpiAPYt2I,,J'entretiens et répare les machines pour éviter ou résoudre les pannes.,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/metier.html?slug=technicien-maintenance,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/assets/metiers/technicien-maintenance.png
Technicien·ne qualité,6,8,5,5,Bac+2/3,2.5,4,Moyenne,Vigilance,Diplomatie,Rigueur,"Je suis le garant de la conformité des produits. Je vérifie, je mesure, j'analyse — et si quelque chose ne va pas, je cherche pourquoi et je propose des solutions. Je travaille en lien avec toutes les équipes pour que les erreurs ne se reproduisent pas. Mon objectif : zéro défaut. Pas par perfectionnisme, mais parce que la qualité, c'est ce qui fait la réputation d'une entreprise.","Je travaille en lien avec toutes les équipes de l'entreprise, mais une grande partie de mon travail est individuel (analyses, rapports).",Je suis le ou la gardien·ne des procédures et des normes — mon travail repose sur des méthodes rigoureuses et documentées.,"Je traite des problèmes récurrents, mais chaque non-conformité est aussi une nouvelle enquête à mener.","Je partage mon temps entre le terrain (prélèvements, contrôles) et le bureau (analyses, rapports).",Un BTS ou BUT Qualité est la voie classique. Des licences professionnelles permettent aussi d'accéder au poste avec une spécialisation.,La rémunération est dans la moyenne du secteur industriel. Elle évolue bien avec l'expérience et les certifications obtenues.,La qualité est une priorité pour toutes les industries. Les profils rigoureux et méthodiques sont régulièrement recherchés dans la région.,"Travail partagé entre terrain et bureau, sans pénibilité physique majeure. Le stress vient des délais et des non-conformités à gérer.",technicien-qualite,technicien-qualite.png,https://www.youtube.com/watch?v=ru3Xdc3HClc,https://www.youtube.com/watch?v=doBuoEzv1lk,,J'analyse les défauts et mets en place des actions pour améliorer la qualité des produits et des procédés.,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/metier.html?slug=technicien-qualite,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/assets/metiers/technicien-qualite.png
Acheteur·euse industriel,7,5,5,9,Bac+5,4,3,Faible,Analyse,Diplomatie,Ténacité,"Je négocie les achats stratégiques de l'entreprise : matières premières, équipements, services. Je sélectionne les fournisseurs, compare les offres, sécurise les délais et optimise les coûts. Mon rôle est clé : si j'achète mal, toute la chaîne de production en souffre. Ce métier mêle analyse, relation commerciale et sens stratégique. Il faut savoir convaincre, anticiper et prendre des décisions sous contrainte.","Je travaille en grande autonomie sur mes dossiers, mais la négociation et la relation fournisseur sont au cœur de mon métier.","J'ai des processus d'achat définis, mais je dois faire preuve d'initiative et de créativité dans mes négociations.","Les marchés évoluent, les fournisseurs changent — mais les fondamentaux du métier restent stables.","Je travaille principalement depuis mon bureau ou en réunion, avec des déplacements occasionnels chez les fournisseurs.","Un master en achats, commerce ou supply chain est attendu. Certaines écoles de commerce proposent des spécialisations dédiées.","Un bon niveau de rémunération, avec souvent une part variable liée aux économies réalisées. Le poste est stratégique et bien reconnu.",La demande est stable mais moins forte que dans les métiers de production. Les profils expérimentés et spécialisés sont privilégiés.,"Travail en bureau, horaires réguliers, déplacements occasionnels. Le stress est lié aux négociations et aux délais, pas aux conditions physiques.",acheteur,acheteur.png,https://www.youtube.com/watch?v=acVhxlMYx8A,https://www.youtube.com/watch?v=ILBAmHY8Vas,,"Je sélectionne et négocie l’achat de matériaux, pièces ou services nécessaires à la production.",https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/metier.html?slug=acheteur,https://electromobvalleedelabatterie.github.io/qui-est-qui-metiers/assets/metiers/acheteur.png
